Meta-description,MacPorts,Fink,Homebrew
Name,name *,Package: *,class * < Formula
Version,version *,Version: *,N/A
License,license *,License: *,N/A
Maintainer,mainters *,Maintainer: *,N/A
Description,description *,Description: *,N/A
Long Description,long_description *,DescDetail: << \n * \n >>,N/A
Homepage,homepage *,Homepage: *,homepage '*'
Source,N/A,Source: $MIRROR:%n/%n-%v*,url '*'
Mirror,master_sites *,$SOURCE,mirror '*'
Checksums,checksums rmd160 * \\n sha256 *,Source-MD5: *,sha1 '*'
Install,N/A,InstallScript: << \n * \n >>,def install \n * \n end
